0;0;1;1;1
0.428571;0.428571;0.047619;0.047619;0.047619
0.124752;0.766337;0.085149;0.013861;0.009901
0.002067;0.019713;0.822198;0.135793;0.020229
0.002863;0.000440;0.060512;0.767509;0.168677
0.025758;0.001493;0.004342;0.113102;0.855305
0.902936;0.076751;0.000368;0.001245;0.018700
0.069484;0.915514;0.014217;0.000527;0.000258
0.000461;0.013368;0.919762;0.065079;0.001330
0.000500;0.000128;0.058334;0.835887;0.105152
0.017355;0.000727;0.003499;0.107942;0.870477
0.912239;0.068363;0.000218;0.001102;0.018078
0.068835;0.917246;0.013231;0.000453;0.000235
